100sound_exception_radar_shading,Sprawdz czy czujnik laserowy odleglosci nie jest zasloniety.,...Przykro mi. Wizja si? sko?czy?a. Nie widz? nic wi?cej.
101sound_exception_dust_box_lost,Zamontuj filtr i pojemnik na kurz.,"DAWAJ czerwony kamie?, bo sam go sobie wezm?."
102sound_exception_low_power,Poziom naladowania baterii jest zbyt niski. Naladuj ja.,"Tarrok slaby. Obcy wrocic szybko, albo Tarrok umrzec. "
103sound_exception_mopping_lost,Upewnij sie ze wklad mopa jest zamontowany.,
104sound_exception_trapped,"Nalezy usunac wszystkie przeszkody sprzed odkurzacza z mopem, I spróbowac ponownie.",Pozb?d? si? bandytow z wiezy!
105sound_exception_charging_to_power_off,"Aby wylaczyc odkurzacz z mopem, nalezy odsunac go od stacji ladujacej.",
106sound_exception_robot_tilted,"Przenies odkurzacz z mopem na plaska powierzchnie, a nastepnie uruchom ponownie.",
107sound_exception_upgrading,"Aktualizacja systemu, spróbuj ponownie pozniej.",Wroce pozniej.
108sound_exception_water_box_lost,"Upewnij sie, ze zbiornik na wode jest zamontowany.",Sam sobie nos te wode!
109sound_exception_robot_dangling,"Umiesc odkurzacz z mopem na podlodze, aby rozpoczac.","Przyjmij odpowieni? postawe, a nikt nie uslyszy twoich krokow."
10sound_point_clean_start,Czyszczenie punktowe rozpoczyna sie.,Dobra. Bierzmy sie do roboty.
110sound_exception_go_charge_failure,Przenies odkurzacz z mopem do stacji ladujacej.,"Nie budzi sie, I z godziny na godzine jest coraz slabszy. Wiem jak mozna go zbudzic, ale potrzbeuje twojej pomocy."
111sound_exception_waiting_to_charge,Niski poziom akumulatora. Poczekaj na zakonczenie ladowania.,Ej? Poczekaj?
112sound_exception_mopping_installed,"Zdejmij wklad mopa, I rozpocznij odkurzanie.",
113sound_exception_cliff,"Przetrzyj czujniki upadku, i przenies odkurzacz w nowe miejsce, aby go uruchomic.",
114sound_exception_magnetic,"Wykryto silne pole magnetyczne. Przenies odkurzacz z mopem w nowe miejsce, I spróbuj ponownie.",
115sound_exception_bumper,Sprawdz i usun obcy obiekt z czujnika zderzeniowego.,
116sound_exception_battery_temperature,Blad temperatury odkurzacza z mopem. Poczekaj az temperatura odkurzacza wróci do normy.,
117sound_exception_charge_clip,Sprawdz i oczysc styki do ladowania.,
118sound_install_dustbox_or_diad_box,"Upewnij sie ze pojemnik na kurz, lub pojemnik 2w1 jest zamontowany.",
119sound_remove_mop,Zdemontuj wklad mopa.,
11sound_mopping_clean_start,"Mycie na mokro, rozpoczyna si?.",
120sound_install_dustbox_or_diad_box_and_remove_mop,"Upewnij si? ?e pojemnik na kurz, lub pojemnik 2w1 s? zamontowane, I mop zosta? usuni?ty.",
121sound_install_mop_and_water_box,"Upewnij si?, ?e zbiornik na wod? oraz mop, s? zamontowane.",
123sound_install_diad_box_and_mop,"Upewnij si? ?e pojemnik na kurz typu 2w1 oraz mop, s? zamontowane.",
124sound_install_diad_box,"Upewnij si? ?e pojemnik na kurz typu 2w1 ze zbiornikiem na wod?, jest zamontowany.",
12sound_corner_mopping_clean_start,"Mycie na mokro wzd?u? kraw?dzi, rozpoczyna si?.",
13sound_area_mopping_clean_start,"Mycie na mokro obszaru, rozpoczyna si?.",
14sound_point_mopping_clean_start,"Punktowe mycie na mokro, rozpoczyna si?.",
150sound_charging_to_clean_dust_box,Rozpoczynanie ?adowania. Czy?? pojemnik na kurz regularnie.,
151sound_charging_to_clean_water_box,Rozpoczynanie ?adowania. Czy?? zbiornik na wod? regularnie.,
152sound_charging_to_remove_mop,?adowanie. Zdemontuj pojemnik na wod? I wk?ad mopa.,
15sound_sweep_clean_finish_to_charging,Czyszczenie zako?czone. Powrót do stacji w celu ?adowania.,
16sound_mopping_clean_finish_to_charging,"Mycie na mokro zako?czone. Powrót do stacji, w celu ?adowania.",
17sound_broken_charging_completed_to_sweep,?adowanie zako?czone. Wznowienie czyszczenia.,
18sound_broken_charging_completed_to_mopping,?adowanie zako?czone. Wznowienie mycia na mokro.,
19sound_battery_low_to_charging,"Niski poziom akumulatora. Powrót do stacji, w celu ?adowania.",
1sound_appoint_global_clean_start,"Zaplanowane czyszczenie ca?o?ciowe, rozpoczyna si?.",
20sound_long_move_to_clean,Zmiana miejsca. Wznów czyszczenie.,
21sound_continue_sweep_clean,Odkurzanie zosta?o wznowione.,
22sound_continue_mopping_clean,Mycie na mokro zosta?o wznowione.,
23sound_pause_sweep_clean,Odkurzanie zosta?o zatrzymane.,
24sound_pause_mopping_clean,Mycie zosta?o zatrzymane.,
25sound_reset_network_config,Po??czenie wifi zosta?o zresetowane. Czekam na po?aczenie z sieci?.,
26sound_charging_start,Rozpoczynanie ?adowania.,
27sound_go_charge,Trwa powrót do stacji w celu ?adowania.,
28sound_stop_charge,Zatrzymaj procedur? powrotu do stacji ?aduj?cej.,
29sound_power_off,Wy??czanie.,
2sound_appoint_corner_clean_start,"Zaplanowane czyszczenie wzd?u? kraw?dzi, rozpoczyna si?.",
30sound_power_on,W??czanie.,Czuj? si?? Czuj? si? jakbym kilka tygodni le?a? pod stert? g?azów.
31sound_I_am_here,Jestem tutaj!,
32sound_dust_box_take_out,"Pojemnik na kurz, zosta? usuni?ty.",
33sound_dia_box_take_out,"Pojemnik na kurz 2w1 ze zbiornikiem na wod? zosta? usuni?ty. Nie nale?y go p?uka?, ani zanu?a? w wodzie.",
34sound_water_box_take_out,"Zbiornik na wod? zosta? usuni?ty. Nie nale?y go p?uka?, ani zanu?a? w wodzie.",
35sound_dust_box_installed,Pojemnik na kurz zosta? zamontowany.,
36sound_dia_box_installed,"Pojemnik na kurz 2w1 ze zbiornikiem na wod?, zosta? zamontowany.",
37sound_water_box_installed,Zbiornik na wod? zosta? zamontowany.,
38sound_remove_mopping,Zdementuj wk?ad mopa.,
39sound_reset_factory_config,Zostan? przywrócone ustawienia fabryczne.,
3sound_appoint_area_clean_start,"Zaplanowane czyszczenie obszaru, rozpoczyna si?.",
40sound_reset_factory_config_starting,Przywracanie  ustawie? fabrycznych.,
41sound_reset_factory_config_failure,Przywracanie ustawie? fabrycznych nie powiod?o si?.,
42sound_reset_factory_config_successful,Przywrócenie ustawie? fabrycznych powiod?o si?.,
43sound_auto_clean_stop,BING BONG,
4sound_appoint_mopping_clean_start,Zaplanowane mycie na mokro rozpoczyna si?.,
50sound_appoint_sweep_mopping_clean_start,"Zaplanowane odkurzanie I mycie na mokro ca?o?ciowe, rozpoczyna si?.",
51sound_appoint_area_sweep_mopping_clean_start,"Zaplanowane odkurzanie I mycie na mokro obszaru, rozpoczyna si?.",
52sound_appoint_corner_sweep_mopping_clean_start,"Zaplanowane odkurzanie I mycie na mokro wzd?u? kraw?dzi, rozpoczyna si?.",
53sound_sweep_mopping_clean_start,"Odkurzanie I mycie na mokro ca?o?ciowe, rozpoczyna si?.",
54sound_corner_sweep_mopping_clean_start,Odkurzanie I mycie namokro wzd?u? kraw?dzi rozpoczyna si?.,
55sound_area_sweep_mopping_clean_start,"Odkurzanie I mycie na mokro obszaru, rozpoczyna si?.",
56sound_point_sweep_mopping_clean_start,"Odkurzanie I mycie na mokro punktowe, rozpoczyna si?.",
57sound_sweep_mopping_clean_finish_to_charging,"Odkurzanie I mycie na mokro, zakonczone. Powrót do stacji, w celu ?adowania.",
58sound_broken_charging_completed_to_sweep_mopping,?adowanie zako?czone. Wznowienie odkurzania I mycia na mokro.,
59sound_continue_sweep_mopping_clean,"Odkurzanie I mycie na mokro, zosta?o wznowione.",
5sound_appoint_area_mopping_start,Zaplanowane mycie na mokro obszaru rozpoczyna si?.,
60sound_pause_sweep_mopping_clean,Wstrzymaj odkurzanie I mycie na mokro.,
6sound_appoint_corner_mopping_start,"Zaplanowane mycie na mokro wzd?u? kraw?dzi, rozpoczyna si?.",
7sound_global_clean_start,"Czyszczenie ca?o?ciowe, rozpoczyna si?.",
8sound_corner_clean_start,Czyszczenie wzd?u? kraw?dzi rozpoczyna si?.,
9sound_area_clean_start,"Czyszczenie obszaru, rozpoczyna si?.",
